Tên VPP	Đơn vị	VAT	Đơn giá
Băng keo, bấm kim, bấm lỗ			
Acco nhựa UNI	Hộp	8%	14.500
Acco sắt SDI	Hộp	8%	22.000
Bấm kim Trio - 50 LA (hãng)	Cái	8%	405.000
Bấm kim số 10 Plus	Cái	8%	31.500
Bấm kim Munix - số 3	Cái	8%	41.200
Bấm kim không dùng kim plus	Cái	8%	115.000
Kềm Bấm Đinh Ghim Có Điều Chỉnh Tăng Lực	Cái	8%	211.500
Bấm kim 50 SA	Cái	8%	257.000
Bấm kim 50 LA	Cái	8%	423.000
Bấm lỗ trung - 837               	Cái	8%	42.100
Bấm lỗ trung - 970               	Cái	8%	57.900
Bấm lỗ trung Trio - 978	Cái	8%	91.600
Bấm lỗ lớn Trio - 9670	Cái	8%	311.700
Bấm 4 lỗ lớn Trio - 0999D	Cái	8%	153.000
Băng keo 2 mặt (1.2cm) 14y	Cuộn	8%	2.650
Băng keo 2 mặt (2.4cm) 14y	Cuộn	8%	5.200
Băng keo 2 mặt (5cm) 14y	Cuộn	8%	9.600
Băng keo 2 mặt đen 2F4 Hàn Quốc	Cuộn	8%	18.500
Băng keo 2 mặt vàng (1.0cm) 50y	Cuộn	8%	15.500
Băng keo 2 mặt vàng (1.2cm) 50y	Cuộn	8%	18.500
Băng keo 2 mặt vàng (2.4cm) 50y	Cuộn	8%	29.500
Lưỡi lam trắng	Cái	8%	2.500
Băng keo điện NANO- 2cm	Cuộn	8%	7.200
Băng keo điện NANO- lớn	Cuộn	8%	14.500
Băng keo giấy kem 1.2 cm	Cuộn	8%	3.150
Băng keo giấy kem 5 cm 	Cuộn	8%	11.200
Băng keo giấy kem 2.4 cm	Cuộn	8%	6.000
Băng keo xốp 2.4cm 12y	Cuộn	8%	14.100
Băng keo trong 1.2cm 100y	Cuộn	8%	3.900
Băng Keo Trong 2.4cm 100y 	Cuộn	8%	7.800
Băng keo VP 1.8x 25y (cuộn nhỏ)     	Cuộn	8%	2.600
Băng keo dán sách (loại 5 phân)	Cuộn	8%	11.200
Băng keo si 5 cm (vàng)             	Cuộn	8%	11.200
Băng keo si 5 cm (xd)             	Cuộn	8%	11.200
Băng keo si 3,6 cm (xd)             	Cuộn	8%	8.900
Băng keo vải 5P	Cuộn	8%	22.500
Băng keo trong 2.4cm 100y	Cuộn	8%	7.800
Băng keo trong 5cm 100y     	Cuộn	8%	15.600
Băng keo trong 7cm 100y     	Cuộn	8%	19.900
Bìa còng, bìa phân trang, trình ký			
Bìa giấy A4 ĐL  - thơm      	xấp	8%	89.000
Bìa Mỹ - A3	tờ	8%	2.050
Bìa còng cua 3f5	Cái	8%	24.700
Bìa còng 7cm 2Si HTM F4          	Cái	8%	30.100
Bìa còng 5cm 2Si HTM F4          	Cái	8%	30.100
Bìa lỗ TQ GM	xấp	8%	44.100
Bìa lỗ dày A4 500g	xấp	8%	53.100
Bìa kiếng - A4, dày	xấp	8%	64.000
Bìa cây (LĐ)     	Cái	8%	5.400
Bìa 20 lá nhựa A4- LĐ	Cái	8%	26.500
