DepartmentCode	SourceMonth	ItemCode	Quantity	UnitPrice	SourceRowCount	SourceRefs	IsSynthesized
CBSX	1	VPP_E33C3FD2E20FAFA535A1C606	6	5200	1	CBSX!5	false
CBSX	1	VPP_620DAB8ECFE7336B86A971F8	96	3150	1	CBSX!6	false
CBSX	1	VPP_F619979572276FB062A5B165	12	6000	1	CBSX!7	false
CBSX	1	VPP_506033EA3026EE18CBC0A735	2	11200	1	CBSX!8	false
CBSX	1	VPP_2D5F01DA9DD63C4779AE3A74	4	15600	1	CBSX!9	false
CBSX	1	VPP_04711541D044B314488B2993	5	14100	1	CBSX!10	false
CBSX	1	VPP_3CCB77F4FA45DE6C8FC85518	3	18700	1	CBSX!17	false
CBSX	1	VPP_C1285C2AC013DD1B1C48AF94	3	18700	1	CBSX!19	false
CBSX	1	VPP_9743CEC7C70351023EE934C7	9	18700	1	CBSX!18	false
CBSX	1	VPP_63DB06C4AFC579D2541D75D1	10	10200	1	CBSX!12	false
CBSX	1	VPP_980FA2A1AAA8AF7B40E21F73	1	30100	1	CBSX!15	false
CBSX	1	VPP_1B1A221F74BCB87C1072F85A	2	53100	1	CBSX!11	false
CBSX	1	VPP_6D93CBDBF0B607859F57497B	5	30500	1	CBSX!26	false
CBSX	1	VPP_6A721030CDE5BD1BCD7B271F	15	3250	1	CBSX!13	false
CBSX	1	VPP_2E8036912C0C118193AE0FB3	4	2900	1	CBSX!29	false
CBSX	1	VPP_BF074043071874632B0F425A	5	7900	1	CBSX!24	false
CBSX	1	VPP_5177513D677876CCBF44A9FF	5	7900	1	CBSX!25	false
CBSX	1	VPP_083E862BFE14BEC171B5C9BC	5	7900	1	CBSX!23	false
CBSX	1	VPP_34C9874CADE6715AAB31D9AF	1	15000	1	CBSX!34	false
CBSX	1	VPP_6F683CBE5BC2FDCC86A7D56C	5	30500	1	CBSX!16	false
CBSX	1	VPP_00F146CF554F30BB71CF8BA9	15	55000	1	CBSX!14	false
CBSX	1	VPP_770AC9E281B5299841AF3C6D	1	71000	1	CBSX!33	false
CBSX	1	VPP_557F9A4DE587202A3AB5CB8F	1	85000	1	CBSX!36	false
CBSX	1	VPP_2E58A029C83C3164FF6DECE0	1	85000	1	CBSX!30	false
CBSX	1	VPP_692E8E8DA3B3F963D6DDFE77	1	25300	1	CBSX!35	false
CBSX	1	VPP_F2B06FA02ACA31A7B3E229DB	1	99500	1	CBSX!20	false
CBSX	1	VPP_BB71DB462583AD2E07C68C2E	1	298000	1	CBSX!21	false
CBSX	1	VPP_FD89FC1A92B93720EA31F213	2	45000	1	CBSX!22	false
CBSX	1	VPP_34A0F6C9589A524AFD58C9FE	5	29000	1	CBSX!28	false
CBSX	1	VPP_B50F2B25582F9B4C295B4D88	3	29500	1	CBSX!31	false
CBSX	1	VPP_5DF5205E1682ED55BCA1B136	4	15200	1	CBSX!32	false
CBSX	1	VPP_4AE8D6BC8A0D624966E63722	1	59200	1	CBSX!27	false
CBSX	2	VPP_E33C3FD2E20FAFA535A1C606	6	5200	1	CBSX!37	false
CBSX	2	VPP_620DAB8ECFE7336B86A971F8	72	3150	1	CBSX!38	false
CBSX	2	VPP_F619979572276FB062A5B165	8	6000	1	CBSX!39	false
CBSX	2	VPP_506033EA3026EE18CBC0A735	2	11200	1	CBSX!40	false
CBSX	2	VPP_2D5F01DA9DD63C4779AE3A74	4	15600	1	CBSX!41	false
CBSX	2	VPP_04711541D044B314488B2993	5	14100	1	CBSX!42	false
CBSX	2	VPP_3CCB77F4FA45DE6C8FC85518	2	18700	1	CBSX!49	false
CBSX	2	VPP_C1285C2AC013DD1B1C48AF94	2	18700	1	CBSX!51	false
CBSX	2	VPP_9743CEC7C70351023EE934C7	6	18700	1	CBSX!50	false
CBSX	2	VPP_63DB06C4AFC579D2541D75D1	10	10200	1	CBSX!44	false
CBSX	2	VPP_980FA2A1AAA8AF7B40E21F73	1	30100	1	CBSX!47	false
CBSX	2	VPP_1B1A221F74BCB87C1072F85A	1	53100	1	CBSX!43	false
CBSX	2	VPP_6A721030CDE5BD1BCD7B271F	20	3250	1	CBSX!45	false
CBSX	2	VPP_2E8036912C0C118193AE0FB3	4	2900	1	CBSX!61	false
CBSX	2	VPP_BF074043071874632B0F425A	5	7900	1	CBSX!56	false
